34301,...Baby One More Time,Glee,2010,0,0,2011-11-25,"TV & movie soundtrack,Pop",English,,,,,,
5825,...Baby One More Time,Bowling for Soup,2005,0,0,2011-05-30,Punk/Grunge,Pop,English,,,,,
19963,...Dann Geh Doch,Howard Carpendale,1978,0,0,2016-07-26,Schlager,German,,,,,,
54081,...Ready For It?,Taylor Swift,2017,0,0,2017-10-24,Pop,Electro,English,,,,,
43214,'39,Queen,1975,0,0,2013-04-01,Rock,English,,,,,,
19429,"'54, '74, '90, 2010",Sportfreunde Stiller,2006,0,0,2014-07-17,Rock,Schlager,German,,,,,
32235,'57 Chevrolet,Billie Jo Spears,1978,0,0,2015-02-17,Country,English,,,,,,
12778,'74 '75,The Connells,1993,0,0,2014-06-13,Pop,Folk,Rock,English,,,,
29828,'Ain't No Sin (To Dance Around In Your Bones),1920s Standards,1929,0,0,2014-10-06,Oldies,English,,,,,,
24723,'Fore She Was Mama,Clay Walker,2006,0,0,2012-05-14,Country,English,,,,,,
35293,'k Heb je lief,René Froger,2010,0,0,2013-04-11,Pop,Dutch,,,,,,
40238,'k Wist niet dat je kwaad werd,Danny Temming,2012,0,0,2016-03-15,Schlager,Dutch,,,,,,
37268,'Round Midnight,Ella Fitzgerald,1961,0,0,2011-06-22,Jazz,Oldies,English,,,,,
38181,'Round Midnight,Amy Winehouse,2003,0,0,2011-11-15,Soul,Jazz,English,,,,,
39449,'t Dondert en het bliksemt,Guus Meeuwis,1997,0,0,2016-08-25,Schlager,Dutch,,,,,,
43047,'t Dondert en het bliksemt,Het Feestteam,2012,0,0,2016-08-25,Schlager,Dutch,,,,,,
6665,'Til A Tear Becomes A Rose,Keith Whitley,1990,1,0,2014-09-29,Country,Duet,English,,,,,
28830,'Til I Get Over You,Michelle Branch,2004,0,0,2011-10-08,Rock,Pop,English,,,,,
48318,'Til It's Gone,Kenny Chesney,2014,0,0,2015-01-19,Country,Rock,English,,,,,
26457,'Til Summer Comes Around,Keith Urban,2009,0,0,2011-05-30,Soft rock,English,,,,,,
46680,'Til The Day I Die,Garbage,2001,0,0,2014-04-28,Rock,Alternative,English,,,,,
30082,'Til Then,1940s Standards,1944,0,0,2012-02-08,Jazz,Oldies,English,,,,,
53580,'Til They Take My Heart Away,Clair Marlo,1989,0,0,2017-11-29,Pop,English,,,,,,
32445,'Til You Do Me Right,After 7,1995,0,0,2013-12-06,Love,Pop,English,,,,,
18769,'Till There Was You,Rod Stewart,2003,0,0,2011-10-16,Soft rock,English,,,,,,
18717,"'Zat You, Santa Claus?",Louis Armstrong,1952,0,0,2011-11-25,Christmas,Jazz,English,,,,,
32396,('Til) I Kissed You,The Everly Brothers,1959,0,0,2011-10-08,Pop,Rock,English,,,,,
42408,(After Sweet Memories) Play Born To Lose Again,Ronnie Milsap,1975,0,0,2013-01-23,Country,English,,,,,,
32632,(Another Woman) Too Many People,Samantha Fox,1987,0,0,2013-11-19,Pop,Rock,80s,English,,,,
42730,(Baby I've Got You) On My Mind,Powderfinger,2003,0,0,2013-07-24,Rock,English,,,,,,
27345,(Baby) Hully Gully,The Olympics,1959,0,0,2011-10-17,Rock 'n Roll,English,,,,,,
41083,(Back Home In) Pasadena,Jazz Standards,2000,0,0,2013-08-10,Jazz,Traditionnal,English,,,,,
26031,(Can't Get My) Head Around You,The Offspring,2004,0,0,2013-12-07,Punk/Grunge,Rock,English,,,,,
44873,(Come Down The Mountain) Katie Daly,Mike Denver,2010,0,0,2013-10-22,Celtic,Country,English,,,,,
34738,(Do) The Hucklebuck,Coast to Coast,1980,0,0,2015-04-28,Rock 'n Roll,English,,,,,,
15142,(Don't Fear) The Reaper,Blue Öyster Cult,1976,0,0,2011-11-28,Rock,Pop,English,,,,,
36974,(Drop Dead) Beautiful,Britney Spears,2011,0,0,2011-06-30,Pop,R&B,Electro,English,,,,
30704,(Dying Inside) To Hold You,Timmy Thomas,1991,0,0,2013-07-22,Love,Pop,English,,,,,
34316,(Every Time I Turn Around) Back in Love Again,LTD,1977,0,0,2011-06-10,Love,Soul,Pop,English,,,,
52396,(Everybody's Waitin' For) The Man With The Bag,Seth MacFarlane,2014,0,0,2017-02-24,Christmas,Jazz,English,,,,,
51896,(Everybody's Waitin' For) The Man With The Bag,Brian Setzer,2002,0,0,2016-11-15,Christmas,Jazz,English,,,,,
7251,(Everything I Do) I Do It For You,Bryan Adams,1991,0,0,2016-10-27,"Love,Soft rock,TV & movie soundtrack",English,,,,,,
32629,(Feels Like) Heaven,Fiction Factory,1983,0,0,2011-05-30,80s,English,,,,,,
11584,(Ghost) Riders in the Sky,Johnny Cash,1979,0,0,2012-02-07,Country,English,,,,,,
36428,(Hey Baby) Que Paso,Texas Tornados,1990,0,0,2011-07-07,Country,English,Spanish,,,,,
9741,(How Much Is) That Doggie in the Window?,Patti Page,1953,0,0,2011-05-31,Oldies,Kids,English,,,,,
5129,(I Can't Get No) Satisfaction,The Rolling Stones,1965,0,0,2011-05-31,"Rock,Rock 'n Roll",English,,,,,,
42518,(I Can't Get No) Satisfaction,Michelle Simonal,2010,0,0,2013-01-28,"Latin,Jazz,Soft rock",English,,,,,,
7837,(I Can't Get No) Satisfaction,Britney Spears,2000,0,0,2011-05-31,Teen pop,English,,,,,,
33802,(I Don't Know Why) But I Do,Clarence ''Frogman'' Henry,1961,0,0,2016-10-26,Pop,Blues,Jazz,English,,,,
9980,(I Just) Died In Your Arms,Cutting Crew,1986,0,0,2007-05-04,80s,Pop,Rock,English,,,,
27630,(I Know) I'm Losing You,The Temptations,1966,0,0,2012-01-09,Soul,English,,,,,,
39482,(I Like My) Cowboys Dirty,Bridgette Tatum,2009,0,0,2013-07-30,Country,English,,,,,,
21256,(I Love You) For Sentimental Reasons,Nat King Cole,1946,0,0,2011-07-09,Jazz,Oldies,English,,,,,
44668,(I Love You) For Sentimental Reasons,Sam Cooke,1957,0,0,2013-08-18,Soul,Oldies,English,,,,,
5658,(I Never Promised You A) Rose Garden,Martina McBride,2005,0,0,2011-05-31,Country,English,,,,,,
23873,(I Want To) Thank You,Freddie Jackson,1995,0,0,2011-10-31,R&B,English,,,,,,
40181,(I'd Be) A Legend In My Time,Ronnie Milsap,1974,0,0,2013-03-04,Country,English,,,,,,
24535,(I'm A) Stand By My Woman Man,Ronnie Milsap,1976,0,0,2011-10-31,Pop,Country,English,,,,,
32857,(I'm Not Your) Steppin' Stone,The Monkees,1966,0,0,2011-07-02,Rock,English,,,,,,
34361,(I've Got A Gal In) Kalamazoo,1940s Standards,1942,0,0,2011-07-08,Oldies,Jazz,English,,,,,
23751,(I've Got Spurs That) Jingle Jangle Jingle,Tex Ritter,1948,0,0,2011-05-31,Christmas,Country,English,,,,,
6430,(I've Had) The Time Of My Life,Dirty Dancing,1987,1,0,2007-10-19,"TV & movie soundtrack,Love,Duet",English,,,,,,
35739,(I've Had) The Time of My Life,Glee,2010,1,0,2011-05-30,"TV & movie soundtrack,Pop,Duet",English,,,,,,
8538,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,1972,0,0,2014-10-14,Soul,English,,,,,,
54767,(If Loving You Is Wrong) I Don't Want to Be Right,Rod Stewart,1977,0,0,2017-12-12,"Soft rock,Blues,Pop",English,,,,,,
33321,(If There Was) Any Other Way,Céline Dion,1990,0,0,2012-03-15,"Soft rock,French pop",English,,,,,,
36367,(If You Can't Sing It) You'll Have to Swing It,Ella Fitzgerald,1936,0,0,2011-10-20,Jazz,Oldies,English,,,,,
10731,(If You're Not In It For Love) I'm Outta Here!,Shania Twain,1995,0,0,2016-03-29,Country,English,,,,,,
36582,(It Looks Like) I'll Never Fall In Love Again (Live),Tom Jones,1969,0,0,2017-10-09,Pop,Love,English,,,,,
50117,(It Must've Been Ol') Santa Claus,Harry Connick Jr.,1993,0,0,2016-08-31,Christmas,Jazz,English,,,,,
53805,(It's Gonna Be) Okay,Cliff Richard,2017,0,0,2017-09-04,Pop,English,,,,,,
28044,(It's Just) The Way That You Love Me,Paula Abdul,1988,0,0,2011-05-31,Pop,80s,Rock,English,,,,
28417,(It's Only A) Paper Moon,Natalie Cole,1991,0,0,2011-05-30,Jazz,English,,,,,,
12161,(It's) Hairspray,Hairspray,2002,0,0,2011-05-31,Musical,English,,,,,,
18270,(Just Like) Starting Over,John Lennon,1980,0,0,2011-11-25,Rock,English,,,,,,
33838,(Keep Feeling) Fascination,The Human League,1983,0,0,2017-11-06,Pop,80s,English,,,,,
41189,(Kissed You) Good Night,Gloriana,2012,1,0,2012-08-13,Country,Duet,English,,,,,
28804,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,1972,0,0,2011-05-31,Soul,Pop,English,,,,,
11259,(Let Me Be Your) Teddy Bear,Elvis Presley,1957,0,0,2011-05-31,"Oldies,Rock 'n Roll",English,,,,,,
10609,(Let Me Be Your) Teddy Bear/Don't Be Cruel,Elvis Presley,1972,0,0,2015-04-11,Oldies,Rock,English,,,,,
12925,(Let's Have A) Party,Elvis Presley,1957,0,0,2011-05-30,"Rock 'n Roll,Oldies,TV & movie soundtrack",English,,,,,,
43353,(Let's Start) Tomorrow Tonight,Smash,2013,0,0,2013-05-07,"TV & movie soundtrack,Musical",English,,,,,,
39151,(Listen to The) Flower People,Spinal Tap,1984,0,0,2012-01-10,"TV & movie soundtrack,Pop,Humour,Rock",English,,,,,,
22339,(Love Is Like A) Heat Wave,Martha and the Vandellas,1963,0,0,2011-09-12,Love,Soul,English,,,,,
18635,(Love Is Like A) Heat Wave,Linda Ronstadt,1975,0,0,2016-06-07,Rock,English,,,,,,
32045,(Love Is Like A) Heatwave,Phil Collins,2010,0,0,2012-06-19,Pop,Soul,English,,,,,
10866,(Marie's The Name) His Latest Flame,Elvis Presley,1961,0,0,2011-05-31,Rock 'n Roll,English,,,,,,
,(Medley) - Let's Stay,"BEatles, The Tina Turner",,,,,,,,,,,,
27823,(Meet) The Flintstones,The B-52's,1994,0,0,2011-05-30,Pop,English,,,,,,
49747,(Nothing's Too Good) For My Baby,Louis Prima,1956,1,0,2016-06-07,Jazz,Oldies,Duet,English,,,,
6797,(Now And Then There's) A Fool Such As I,Elvis Presley,1952,0,0,2011-07-02,"Oldies,Rock 'n Roll",English,,,,,,
47422,(Oh) Pretty Woman,Van Halen,1982,0,0,2014-08-28,Rock,Hard/Metal,English,,,,,
28908,(Out Here) On My Own,Nikka Costa,1981,0,0,2011-05-30,"Teen pop,Musical",English,,,,,,
43919,(Out Here) On My Own,Sagi Rei,2007,0,0,2013-06-12,Pop,English,,,,,,
13985,"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,1976,0,0,2011-06-14,Disco,Funk,English,,,,,
35954,(She's) Sexy + 17,The Stray Cats,1983,0,0,2014-07-07,Rock 'n Roll,English,,,,,,
10355,(She's) Some Kind Of Wonderful,Huey Lewis & The News,1994,0,0,2016-01-28,Rock,Soul,English,,,,,
5477,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,0,0,2012-02-02,Soul,English,,,,,,
48734,(Sittin' On) The Dock Of The Bay,Sara Bareilles,2008,0,0,2015-03-27,Pop,English,,,,,,
32867,(Sittin' On) The Dock Of The Bay,Michael Bolton,1988,0,0,2011-05-31,Soul,English,,,,,,
34683,(Something Inside) So Strong,Labi Siffre,1987,0,0,2014-03-20,80s,Soul,English,,,,,
33924,(Still A) Weirdo,KT Tunstall,2010,0,0,2016-02-25,Pop,Folk,English,,,,,
9578,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968,0,0,2011-05-31,Soul,English,,,,,,
15514,(Taking My) Life Away,Default,2003,0,0,2012-03-18,Pop,Rock,English,,,,,
53406,(That's What You Get) For Lovin' Me,Elvis Presley,1973,0,0,2017-07-11,"Rock 'n Roll,Pop",English,,,,,,
12162,(The Legend Of) Miss Baltimore Crabs,Hairspray,2007,0,0,2011-05-31,"Musical,TV & movie soundtrack",English,,,,,,
11048,(Theme From) The Monkees,The Monkees,1966,0,0,2011-10-12,Rock,English,,,,,,
29830,(There Is) No Greater Love,Nat King Cole,1958,0,0,2012-06-15,Oldies,Jazz,English,,,,,
20721,(There Is) No Greater Love,Amy Winehouse,2003,0,0,2011-05-30,Soul,Jazz,English,,,,,
33129,(There'll Be Bluebirds Over) The White Cliffs Of Dover,Vera Lynn,1942,0,0,2016-06-07,Oldies,English,,,,,,
9408,(There'll Be) Peace in the Valley (For Me),Elvis Presley,1957,0,0,2016-11-16,Gospel,Christian,Love,English,,,,
54647,(There'll Be) Peace in the Valley (For Me) (with the Royal Philharmonic Orchestra),Elvis Presley,2017,0,0,2017-12-01,Gospel,Love,English,,,,,
5774,(There's Gotta Be) More To Life,Stacie Orrico,2003,0,0,2011-05-31,Pop,Rock,English,,,,,
7537,(There's No Place Like) Home For The Holidays,Perry Como,1959,0,0,2014-11-18,Christmas,Oldies,Jazz,English,,,,
9010,(They Long To Be) Close To You,The Carpenters,1970,0,0,2007-05-04,Pop,Love,English,,,,,
34232,(They Long To Be) Close To You,Harry Connick Jr.,2009,0,0,2012-02-14,Jazz,Pop,English,,,,,
8148,(This Is) A Song For The Lonely,Cher,2001,0,0,2015-01-19,Pop,English,,,,,,
17957,(Tonight We Just Might) Fall In Love Again,Hal Ketchum,1994,0,0,2016-05-02,Country,English,,,,,,
43417,(Tonight) The Bottle Let Me Down,The Mavericks,1997,0,0,2013-05-23,Rock 'n Roll,English,,,,,,
15576,(Turn Out The Light And) Love Me Tonight,Don Williams,1975,0,0,2014-11-18,Country,English,,,,,,
45500,(Turn Out The Lights) The Party's Over,Mike Denver,2009,0,0,2013-12-11,Country,English,,,,,,
25219,(Up A) Lazy River,Michael Bublé,2001,0,0,2011-05-30,Jazz,English,,,,,,
32090,(Wanna Get To Know You) That Good,Shania Twain,2002,0,0,2016-08-25,Country,Pop,Rock,English,,,,
10283,(What a) Wonderful World,Art Garfunkel,1978,0,0,2017-02-22,Folk,English,,,,,,
38499,"(What's So Funny 'Bout) Peace, Love, and Understanding",Brinsley Schwarz,1974,0,0,2018-01-17,Rock,English,,,,,,
31761,(Whatever It Is) I'm Against It,Groucho Marx,1932,0,0,2013-12-07,"TV & movie soundtrack,Oldies",English,,,,,,
45110,(When You Gonna) Give It Up To Me,Sean Paul,2006,0,0,2013-10-08,Rap,Reggae,R&B,English,,,,
22125,(Where Do I Begin?) Love Story,Andy Williams,1970,0,0,2011-05-30,"Love,Soft rock,TV & movie soundtrack",English,,,,,,
26258,(Where Do I Begin?) Love Story,Shirley Bassey,1971,0,0,2011-07-07,"Love,Soft rock",English,,,,,,
10134,(Who Says) You Can't Have It All,Alan Jackson,1994,0,0,2017-03-15,"Country,Soft rock",English,,,,,,
35320,(You Drive Me) Crazy,Britney Spears,1999,0,0,2012-03-05,"Teen pop,Pop",English,,,,,,
35338,(You Drive Me) Crazy,Richard Cheese,2002,0,1,2011-05-30,Jazz,Humour,English,,,,,
8741,(You Drive Me) Crazy (The Stop Remix!),Britney Spears,1999,0,0,2011-05-30,"Teen pop,TV & movie soundtrack",English,,,,,,
12430,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,1987,0,0,2013-09-17,Rock,Rap,English,,,,,
8242,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967,0,0,2007-05-04,Soul,English,,,,,,
44293,(You Make Me Feel Like) A Natural Woman,Carole King,1971,0,0,2014-04-07,"Love,Folk,Soft rock",English,,,,,,
10838,(You Make Me Feel Like) A Natural Woman,Céline Dion,1996,0,0,2016-10-21,Love,English,,,,,,
32392,(You Make Me Feel Like) A Natural Woman,Eva Cassidy,2000,0,0,2016-04-22,"Soft rock,Jazz",English,,,,,,
30087,(You Never Can Tell) C'est la Vie,Emmylou Harris,1977,0,0,2011-05-30,Country,English,,,,,,
45486,(You're Going Out) The Same Way You Came In,Curtis Magee,2008,0,0,2013-11-28,Country,English,,,,,,
30140,(You're My) Soul And Inspiration,The Righteous Brothers,1966,0,0,2011-07-24,Oldies,Soul,Rock,English,,,,
10856,(You're So Square) Baby I Don't Care,Elvis Presley,1958,0,0,2016-06-07,"Rock 'n Roll,Oldies",English,,,,,,
32539,(You're So Square) Baby I Don't Care,Buddy Holly,1958,0,0,2016-02-03,"Rock 'n Roll,Oldies",English,,,,,,
7018,(You're The) Devil In Disguise,Elvis Presley,1968,0,0,2007-07-31,"Rock 'n Roll,Oldies",English,,,,,,
37350,(You're) Timeless To Me,Hairspray,2007,1,0,2013-07-24,"TV & movie soundtrack,Musical,Duet",English,,,,,,
18055,(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967,0,0,2011-11-25,Pop,English,,,,,,
30657,(Your Love Keeps Lifting Me) Higher And Higher,Rod Stewart,2009,0,0,2011-12-26,Pop,Soul,Rock,English,,,,
51247,(Your Love Keeps Lifting Me) Higher and Higher,Jimmy Barnes,1991,0,0,2016-06-07,Pop,Rock,English,,,,,
,#1,Nelly,,,,,,,,,,,,
,#1 Crush,Garbage,,,,,,,,,,,,
18263,#9 Dream,John Lennon,1974,0,0,2018-01-15,Pop,Rock,English,,,,,
,#9 Dream,"Lennon, John",,,,,,,,,,,,
43959,#Beautiful,Mariah Carey,2013,0,1,2013-06-12,Pop,R&B,English,,,,,
46645,#SELFIE,The Chainsmokers,2014,0,0,2014-04-22,Dance,Electro,English,,,,,
43474,#thatPOWER,will.i.am,2013,0,0,2013-07-30,Pop,Electro,Dance,English,,,,
13137,1 2 3 4,Feist,2007,0,0,2011-08-26,Folk,Alternative,English,,,,,
54186,1 Nacht Alleen,Doe Maar,1983,0,0,2017-10-20,Pop,Rock,Reggae,Dutch,,,,
27280,1-2-3,Miami Sound Machine,1988,0,0,2011-05-30,Pop,English,,,,,,
30023,1-2-3,Len Barry,1966,0,0,2011-05-31,Pop,English,,,,,,
40019,1-2-3,Ann Tayler,2003,0,0,2013-03-16,Country,English,,,,,,
54620,1-800-273-8255,Logic,2017,1,1,2018-01-13,Rap,Pop,Duet,English,,,,
12448,"1, 2 Step",Ciara,2004,0,0,2011-05-30,Rap,R&B,English,,,,,
55412,"1, 2, 3",Sofía Reyes,2018,0,0,2018-05-23,Pop,R&B,Electro,Latin,English,Spanish,,
36012,"1, 2, 3","Dracula, L'amour plus fort que la mort",2010,0,0,2016-06-04,"Musical,French pop",French,,,,,,
44328,"1, 2, 3 Maria",Chico & The Gypsies,2013,0,0,2013-08-18,Pop,Latin,Spanish,,,,,
22487,"1, 2, 3, 4",Plain White T's,2008,0,0,2013-04-22,Folk,Rock,English,,,,,
35514,"1, 2, 3, 4 (Sumpin' New)",Coolio,1996,0,0,2011-10-14,"Rap,TV & movie soundtrack",English,,,,,,
56048,"1, 2, 3, 4: Heute Nacht da feiern wir!",Anna-Maria Zimmermann,2018,0,0,2018-08-28,Disco,Dance,Pop,German,,,,
25621,10 Meter geh',Chris Boettcher,2009,0,0,2016-06-05,Humour,Schlager,German,,,,,
36338,10 Minutes,Inna,2010,0,0,2011-05-31,Pop,Dance,Electro,English,,,,
19778,10.000 Nights Of Thunder,Alphabeat,2008,0,0,2011-05-31,Rock,Alternative,English,,,,,
27048,10/10,Paolo Nutini,2009,0,0,2011-05-30,Pop,English,,,,,,
38614,"100 Days, 100 Nights",Sharon Jones,2006,0,0,2012-08-20,Soul,English,,,,,,
44848,100 Numbers,Derek Ryan,2013,0,0,2013-10-17,Country,Celtic,English,,,,,
5665,100 Years,Five for Fighting,2004,0,0,2007-05-18,"Soft rock,Pop",English,,,,,,
18605,100.000 leuchtende Sterne,Anna-Maria Zimmermann,2011,0,0,2016-06-04,Schlager,Pop,Rock,German,,,,
30231,100% Pure Love,Crystal Waters,1994,0,0,2013-09-17,Dance,80s,English,,,,,
17654,1000 coeurs debout,Cali,2008,0,0,2016-02-25,French pop,French,,,,,,
36538,1000 KM Bis Zum Meer,Luxuslärm,2008,0,0,2016-06-05,Pop,Rock,German,,,,,
44894,1000 Times,Sara Bareilles,2013,0,0,2013-11-12,"Pop,Soft rock",English,,,,,,
25468,1000 träume weit (Tornero),Anna-Maria Zimmermann,2009,0,0,2016-08-26,Schlager,German,,,,,,
19346,1001 Nacht,Klaus Lage Band,1984,0,0,2016-06-04,Rock,Pop,German,,,,,
56030,110 Karat,Amigos,2018,0,0,2018-08-17,Schlager,German,,,,,,
49885,12 groszy,Kazik,1997,0,0,2016-07-26,Rap,Rock,Alternative,Polish,,,,
25110,12:51,The Strokes,2003,0,0,2011-07-09,Rock,Pop,Alternative,English,,,,
45164,13 Tage,Olaf Henning,2010,1,0,2013-11-28,Schlager,Duet,German,,,,,
23679,15 Minutes,Rodney Atkins,2009,0,0,2011-05-31,Country,English,,,,,,
24374,15 Minutes Of Shame,Kristy Lee Cook,2008,0,0,2011-05-31,Country,English,,,,,,
45978,16 Tons,Robbie Williams,2013,0,0,2014-01-28,Jazz,Oldies,English,,,,,
11826,17 ans,Claude François,1975,0,0,2011-05-31,French pop,French,,,,,,
52070,17 ans,M. Pokora,2016,0,0,2016-12-23,French pop,French,,,,,,
22291,18 And Life,Skid Row,1989,0,0,2012-01-31,Rock,Hard/Metal,English,,,,,
22843,18 Days,Saving Abel,2008,0,0,2012-05-15,Rock,Punk/Grunge,English,,,,,
42683,18 Wheeler,Pink,2001,0,0,2013-01-22,Pop,Rock,English,,,,,
44379,18 Yellow Roses,Bobby Darin,1963,0,0,2016-08-26,Pop,Love,Oldies,English,,,,
29639,18 Yellow Roses,Marty Robbins,1986,0,0,2011-05-31,"Country,Soft rock",English,,,,,,
42031,180 Grad,Michael Wendler,2005,0,0,2015-02-11,Schlager,German,,,,,,
27639,19 And Crazy,Bomshel,2010,0,0,2011-05-30,Country,English,,,,,,
51732,19 You + Me,Dan + Shay,2013,0,0,2016-09-16,Pop,Country,English,,,,,
15950,19-2000,Gorillaz,2001,0,0,2013-12-03,Electro,Pop,English,,,,,
43494,1948 (Toen was geluk heel gewoon),Gerard Cox,1994,0,0,2013-05-31,"Schlager,TV & movie soundtrack",Dutch,,,,,,
11356,19th Nervous Breakdown,The Rolling Stones,1966,0,0,2015-04-29,Rock,English,,,,,,
10348,2 Become 1,Spice Girls,1996,0,0,2016-11-03,Teen pop,English,,,,,,
49937,2 Heads,Coleman Hell,2015,0,0,2016-03-10,Alternative,Electro,English,,,,,
44427,2 Hearts,Toto,1992,0,0,2013-08-15,Rock,English,,,,,,
13161,2 Hearts,Kylie Minogue,2007,0,0,2007-12-19,Pop,English,,,,,,
53431,2 Places at 1 Time,Zac Brown Band,2017,0,0,2017-07-19,Country,English,,,,,,
42520,2 Times,Ann Lee,1999,0,0,2013-01-22,Dance,English,,,,,,
25671,2-4-6-8 Motorway,Tom Robinson Band,1977,0,0,2011-05-30,Rock,English,,,,,,
20270,20 de Enero,La oreja de Van Gogh,2003,0,0,2013-08-08,Pop,Electro,Rock,Spanish,,,,
40317,20/20,George Benson,1985,0,0,2012-05-25,Soul,Funk,English,,,,,
32694,2000 Miles,The Pretenders,1984,0,0,2012-12-03,Christmas,Pop,English,,,,,
40228,2012 (If The World Would End),Mike Candys,2012,0,0,2016-08-25,Dance,English,,,,,,
33927,2012 (It Ain't The End),Jay Sean,2010,0,0,2016-02-25,Pop,Rap,English,,,,,
14064,20th Century Boy,T. Rex,1973,0,0,2011-05-31,Rock,Alternative,English,,,,,
51685,21 Summer,Brothers Osborne,2016,0,0,2016-10-02,Country,English,,,,,,
20019,21 Things I Want In A Lover,Alanis Morissette,2002,0,0,2011-05-31,Rock,Pop,English,,,,,
49537,2112: Overture / The Temples Of Syrinx,Rush,1976,0,0,2015-08-06,Rock,Alternative,English,,,,,
36662,21st Century Girl,Willow Smith,2011,0,0,2016-02-25,"Teen pop,Rap,Pop,Dance",English,,,,,,
20809,21st Century Life,Sam Sparro,2005,0,0,2011-05-31,Funk,Dance,Pop,English,,,,
35571,24/7,3T,1996,0,0,2013-12-07,"Teen pop,Soft rock",English,,,,,,
37670,24000 Baci,Aylin Prandi,2011,0,0,2011-08-29,Pop,Italian,,,,,,
51925,24K Magic,Bruno Mars,2016,0,1,2016-10-21,Funk,80s,R&B,Pop,Disco,English,,
27590,26 Miles (Santa Catalina),The Four Preps,1958,0,0,2011-05-31,Pop,English,,,,,,
41985,28° à l'ombre,Jean-François Maurice,1978,0,0,2016-02-25,French pop,French,,,,,,
53415,2U,David Guetta,2017,0,0,2017-08-03,Pop,Electro,English,,,,,
54817,3 A.M.,Jesse & Joy,2015,1,0,2018-01-23,Pop,Latin,Duet,Spanish,,,,
54816,3 A.M. (feat. Gente de Zona),Jesse & Joy,2017,1,0,2018-01-23,Pop,Latin,Duet,Spanish,,,,
43996,3 Libras,A Perfect Circle,2000,0,0,2013-07-01,Alternative,Rock,Hard/Metal,English,,,,
23468,3 Minuten,Carlo & Irene,1997,0,0,2016-08-25,Pop,Kids,Dutch,,,,,
12176,3 nuits par semaine,Indochine,1985,0,0,2011-05-31,"French pop,Rock",French,,,,,,
