,title,artist,,,,,,,,,,,,
48385,Pas besoin de permis,Vanessa Paradis,2014,0,0,2016-06-07,French pop,French,,,,,,
27782,Pas besoin de toi,Joyce Jonathan,2010,0,0,2011-05-30,French pop,French,,,,,,
36771,Pas cette chanson,Johnny Hallyday,1962,0,0,2016-06-04,French pop,French,,,,,,
37941,Pas d'ami (comme toi),Stephan Eicher,1991,0,0,2016-06-05,French pop,French,,,,,,
17010,Pas de boogie-woogie,Eddy Mitchell,1976,0,0,2016-02-25,"French pop,Rock 'n Roll",French,,,,,,
39259,Pas de boogie-woogie (Live 2011),Eddy Mitchell,2011,0,0,2016-06-05,"French pop,Rock 'n Roll",French,,,,,,
25456,Pas du tout,Bénabar,2008,0,0,2016-02-25,"Humour,French pop",French,,,,,,
40343,Pas gaie la pagaille,Maurane,1989,0,0,2016-08-25,French pop,French,,,,,,
48706,Pas là,Vianney,2014,0,0,2015-06-08,French pop,French,,,,,,
39104,Pas si loin,Christophe Willem,2011,0,0,2016-02-25,"French pop,Electro",French,,,,,,
12908,Pas toi,Jean-Jacques Goldman,1986,0,0,2015-10-07,French pop,French,,,,,,
44802,Pas toi,Génération Goldman,2013,0,0,2015-10-07,French pop,French,,,,,,
46031,Pas toi,Fredericks Goldman Jones,1995,0,0,2015-10-07,French pop,French,,,,,,
23439,Pas toi (version live 98),Jean-Jacques Goldman,1998,0,0,2015-10-07,"French pop,Humour",French,,,,,,
33282,Pasion Morena,Olga Tañón,2009,0,0,2013-07-22,Latin,Pop,Spanish,,,,,
47633,Pass Me By (If You're Only Passing Through),Johnny Rodriguez,1972,0,0,2014-10-13,Country,English,,,,,,
28878,Pass Out,Tinie Tempah,2009,0,0,2011-05-30,R&B,Electro,Rap,English,,,,
5805,Passenger Seat,SHeDAISY,2004,0,0,2012-08-31,Country,English,,,,,,
20362,Passer ma route,Maxime Le Forestier,1995,0,0,2014-08-08,"French pop,Reggae",French,,,,,,
49561,Passer ma route (Radio edit),Maxime Le Forestier,1994,0,0,2017-03-24,"French pop,Reggae",French,,,,,,
6171,Passionate Kisses,Mary Chapin Carpenter,1992,0,0,2012-03-26,Country,English,,,,,,
53132,Passionfruit,Drake,2017,0,1,2017-06-07,Pop,Dance,English,,,,,
14850,Passive,A Perfect Circle,2005,0,0,2011-05-31,"Rock,Alternative,TV & movie soundtrack,Hard/Metal",English,,,,,,
53955,Passport Home (Piano Acoustic),JP Cooper,2017,0,0,2017-09-27,Pop,English,,,,,,
20203,Past The Point Of Rescue,Hal Ketchum,1991,0,0,2012-10-02,Country,English,,,,,,
25844,Pastime Paradise,Stevie Wonder,1976,0,0,2011-05-31,Soul,English,,,,,,
29427,Pastorale,Ramses Shaffy,1969,1,0,2011-12-27,Duet,Pop,Dutch,,,,,
14069,Pata Pata,Miriam Makeba,1967,0,0,2014-09-25,World/Folk,Zouk/Creole,Other,,,,,
50945,Patch It Up,Elvis Presley,1970,0,0,2016-05-03,Rock,English,,,,,,
21036,Patience,Guns N' Roses,1989,0,1,2011-11-22,"Soft rock,Hard/Metal",English,,,,,,
11336,Patience,Take That,2006,0,0,2011-05-31,"Pop,Soft rock",English,,,,,,
43537,Patience,Dreamgirls,2006,0,0,2013-07-24,"TV & movie soundtrack,Soul,Musical",English,,,,,,
48094,Patiently,Journey,1978,0,0,2014-12-12,Pop,Rock,English,,,,,
50583,Patsy Fagan,Derek Ryan,2015,0,0,2016-03-15,Celtic,Folk,English,,,,,
25610,Patty Duke Show,TV Theme,1963,0,0,2013-12-03,TV & movie soundtrack,English,,,,,,
53043,Paul Revere,Beastie Boys,1986,0,1,2017-11-13,Rap,English,,,,,,
36021,"Paulette, la reine des paupiettes",Les Charlots,1967,0,0,2013-10-16,"French pop,Humour,Oldies",French,,,,,,
43807,Pauvre diable,Vaya Con Dios,2009,0,0,2013-07-07,"Latin,French pop",French,,,,,,
30649,Pauvre petite fille riche,Claude François,1963,0,0,2011-06-08,French pop,French,,,,,,
11982,Pauvres diables,Julio Iglesias,1979,0,0,2011-05-31,French pop,French,,,,,,
50029,Pavement Ends,Little Big Town,2012,0,0,2015-11-24,Country,Rock,English,,,,,
25347,Pay Me My Money Down,Bruce Springsteen,2006,0,0,2011-05-30,Folk,English,,,,,,
48713,Pay Me My Money Down,Mike Denver,2007,0,0,2015-03-24,Country,English,,,,,,
53016,Pay My Rent,DNCE,2016,0,0,2017-06-13,Pop,Funk,Dance,English,,,,
