,What's Happened To,"Colter, Jessi"
,What's He Doing In My,"Arnold, Eddy"
,What's In It For Me,"Berry, John"
,What's It Gonna Be,"McKnight, Brian"
,What's It Like,Santana
,What's Left Of Me,"Lachey, Nick"
,What's Left of the Flag,Flogging Molly
,What's Love Got To Do,"Turner, Tina"
,What's Luv,Fat Joe & Ashanti
,Whats Mine is Yours,"Brown, Kane"
,Whats Mine Is Yours,"Brown, Kane"
,What's My Age Again,Blink 182
,What's My Name,Rihanna & Drake
,What's New,"Ronstadt, Linda"
,What's New Pussycat,"Jones, Tom"
,What's Not To Love,Dwele
,What's On Your Mind,Information Society
,What's She Really Like,"Presley, Elvis"
,What's Simple Is True,Jewel
,What's The Colour Of,Hollywood Beyond
,"What's The Frequency,",R.E.M.
,What's The Matter With,"Church, Claudia"
,What's The Use Of,"Butler, Jerry"
,What's This,Musical Nightmare Before
,What's This Life For,Creed
,What's Up,4 Non Blondes
,What's Wrong,PVRIS
,What's Your Flava,"David, Craig"
,What's Your Mama's,"Tucker, Tanya"
,What's Your Name,Lynyrd Skynyrd
,When I Lost You,"Whatmore, Sarah"
,(That's What You Do),
,Without You What Do I,"Tucker, Tanya"
,You Get What You Give,New Radicals
,Baby That's What Love Teresa,
,Baby What A Big Chicago,
,"Baby You've Got What It Duets/Benton, Brook &",
,"Daydream (What A Day Lovin' Spoonful, The",
,"December '63 (Oh What Four Seasons, The",
,Do What U Want Lady Gaga,
,"Do What Ya Gotta Do Adams, Bryan",
,Down For Whatever,"Rowland, Kelly"
,D'You Know What I Mean,Oasis
,"Find Out What's Presley, Elvis",
,Flashdance (What A,"Cara, Irene"
,Moments & What Nauts,
,"Girl's Gotta Do, A (What McCready, Mindy",
,"Have We Forgotten What Bernard, Crystal",
,"Heart Wants What It Gomez, Selena & The",
,Hey Hey What Can I Do Led Zeppelin,
,Hold On To What You Mumford & Sons,
,Honky Tonkin's What I,"Duets/Stuart, Marty &"
,"I Am What I Am Gaynor, Gloria",
,"I Just Don't Know What Springfield, Dusty",
,What I Am,
,"If You Know What I Mean Diamond, Neil",
,It Ain't What You Do It's,Fun Boy Three &
,It's What I Do,
,Know What You Mean Sister 7,
,"Life's What You Make It Montana, Hannah",
,"Look What Followed Me Ball, David",
,Look What I Found,
,Look What The Cat Poison,
,Look What They've Done Melanie,
,"Look What You Made Me Swift, Taylor",
,"Look What You Made Me Swift, Taylor",
,Look What You've Done Jet,
,"Look What You've Done Green, Al",
,Money (That's What I,
,What To Do,
,O What A Thrill,"Mavericks, The"
,Oh What A Beautiful,Musical/Oklahoma
,Oh What A Night,"Dells, The"
,Oh What It Did To Me,"Tucker, Tanya"
,Over The Rainbow/What,
,Me Get What I Want,
,Powerless (Say What,
,"Practice What You White, Barry",
,Say What You Want,Texas
,Show Me What I Am Carolina Liar,
,Show Me What I'm Carolina Liar,
,Whatever You've Got),
,Don't Know What,
,(Careful What You're,
,"Stronger (What Doesn't Clarkson, Kelly",
,Tell Me (What's Goin' On),
,"Tell Me What He Said Shapiro, Helen",
,"Tell Me What We're Stone, Joss",
,"Tell Me What You See Beatles, The",
,"Tell Me What You Think Nicole, Erica",
,That's What Happens,"Tippin, Aaron"
,That's What I Get For,Diamond Rio
,That's What I Go To,Busted
,That's What I Like,"Mars, Bruno"
,That's What I Like About,"Montgomery, John Michael"
,That's What I Love About,"Morgan, Craig"
,That's What It's All About,Brooks & Dunn
,That's What It's Made For,Usher
,That's What Love Will Do,"Brown, Joe & The"
,That's What She Gets,Brooks & Dunn
,That's What You Get,Paramore
,"Then What Walker, Clay",
,"This Is What It Feels Like Van Buuren, Armin &",
,"This Is What Makes Us Del Rey, Lana",
,This is What You Came Rihanna & David Guetta,
,"Unwashed & Somewhat Bowie, David",
,"What A Shame Howard, Rebecca Lynn",
,"What A Waste Dury, Ian & The",
,"What A Woman Knows Tyler, Kris",
,"What A Woman Wants Burton, Julia",
,"What A Wonderful Life Presley, Elvis",
,"What A Wonderful World Armstrong, Louis",
,What About Everything Carbon Leaf,
,What About Love Heart,
,What About Me,
,What About Now,
,What About Us Brandy,
,What About You,
,What About Your Friends TLC,
,What Am I Fighting For Unklejam,
,"What Am I Gonna Do Stewart, Rod",
,"What Am I Gonna Do McEntire, Reba",
,"What Am I To You Jones, Norah",
,"What Am I Waiting For Newfield, Heidi",
,"What Are We Doin' In Duets/Rogers, Kenny &",
,"What Are You Doing New Christmas/Connick, Harry",
,"What Are You Waiting Saturdays, The",
,What Became Of The Libertines,
,"What Becomes Of The Ruffin, Jimmy",
,"What Can I Do Corrs, The",
,"What Have You Done For Jackson, Janet",
,What Hurts The Most Cascada,
,"What I Am Brickell, Edie & The New",
,What I Believe,
,What I Cannot Change,
,What I Can't Put Down,
,What I Did For Love,
,What I Did Right,
,What I Didn't Do,
,"What I Do Brown, Chris & Plies",
,What I Got Sublime,
,What I Like About You Lillix,
,"What I Live For VanHoy, Christine",
,"What I Meant To Say Hayes, Wade",
,"What I Might Do Pearce, Ben",
,What I Need Ray J,
,"What I Need To Do Chesney, Kenny",
,"What I Really Meant To Thomson, Cyndi",
,"What I Said Jones, Coco",
,"What I'd Say Conley, Earl Thomas",
,What If Creed,
,What If Eminem Did,
,"What If I Trainor, Meghan",
,What If I Do,
,What If I Said,
,"What If I'm Right Stockton, Shane",
,"What Kind Of Fool Do Parnell, Lee Roy",
,"What Kind Of Love Crowell, Rodney",
,What Kind Of Love Are Aerosmith,
,What Kind of Man Florence and the Machine,
,What Kind Of Man Florence & The Machine,
,"What Kind Of Woman Cochran, Tammy",
,"What Kinda Gone Cagle, Chris",
,"What Made Milwaukee Lewis, Jerry Lee",
,"What Made You Say That Twain, Shania",
,"What Makes A Good Man Heavy, The",
,What Makes A Man Westlife,
,What Makes You One Direction,
,What Makes You,
,"What Makes You Bryan, Luke",
,"What Mattered Most Herndon, Ty",
,What Might Have Been Little Texas,
,"What More Do You Want Vincent, Rhonda",
,"What My Heart Wants To Gates, Gareth",
,What Now Rihanna,
,"What Now My Love Bassey, Shirley",
,"What Part Of No Morgan, Lorrie",
,What Planet You On Bodyrox & Luciana,
,What She Is,
,What She's Doing Now,
,What The Cowgirls Do,
,What The Heart Wants,
,"What The Hell Lavigne, Avril",
,"What The Hell Happened Sandler, Adam",
,What The Water Gave Me Florence & The Machine,
,What The World Needs Wynonna,
,"What The World Needs DeShannon, Jackie",
,"Whatcha See Is Whatcha Dramatics, The",
,Whatcha Think About Pussycat Dolls & Missy,
,"Whatchulookinat Houston, Whitney",
,"What'd I Say Charles, Ray",
,Whatever En Vogue,
,Whatever Comes First Oasis,
,"Whatever Gets You Lennon, John",
,Whatever Happened To Musical/Spamalot,
,"Whatever I Do (Wherever Dean, Hazell",
,"Whatever It Takes Baker, Anita",
,Whatever She's Got,
,"Whatever U Want Milian, Christina & Joe",
,Whatever We Imagine,
,"Whatever You Do, Don't",
,Whatever You Like,
,Whatever You Need,
,Whatever You Say,
,Whatever You Want,
,Whatever You Want Pink,
,What'll I Do Standards/Traditional,
,What'll You Do About Me,
,"What's A Guy Got To Do Nichols, Joe",
,"What's A Memory Like Schneider, John",
,What's Come Over You,
,"What's Coming Is Better Kipping, Deon",
,Whatta Man,Salt 'N Pepa & En Vogue
,Whatzupwitu,"Murphy, Eddie"
,What You Want,
,You Don't Know What Standards/Traditional,
,you know what happens My Chemical Romance,
,You Know What It Is T.I. & Wyclef,
,"You Know What's Up Jones, Donell",
,"You Wanna What Elliott, Alecia",
9,0,0,2012-10-12,Pop,English,,,,,,
30225,What A Difference A Day Made,Jamie Cullum,2008,0,0,2011-08-23,Jazz,Pop,English,,,,,
20971,What A Difference A Day Makes,Esther Phillips,1975,0,0,2012-08-15,Disco,Soul,English,,,,,
54606,What A Difference A Day Makes,Dean Martin,1962,0,0,2018-01-02,Love,Pop,English,,,,,
49209,What A Difference A Day Makes,Renee Olstead,2004,0,0,2015-05-26,Jazz,Soul,English,,,,,
31005,What A Difference A Day Makes,Bobby Darin,1964,0,0,2015-09-07,Jazz,Love,English,,,,,
53958,What A Difference A Day Makes,Randy Crawford,1995,0,0,2017-09-26,Jazz,Soul,English,,,,,
33091,What A Dog / He's A Tramp,Lady And The Tramp,1955,0,0,2015-08-28,"TV & movie soundtrack,Jazz",English,,,,,,
37348,What A Feeling,Alex Gaudino,2011,0,0,2012-01-10,Dance,Electro,English,,,,,
37172,What a Fool Believes,The Doobie Brothers,1978,0,0,2012-08-23,Funk,Soul,Pop,English,,,,
14901,What A Friend We Have In Jesus,Alan Jackson,2006,0,0,2012-01-13,Country,Christian,English,,,,,
8823,What A Girl Wants,Christina Aguilera,1999,0,0,2011-09-23,"Teen pop,Pop",English,,,,,,
50939,What a Man,Linda Lyndell,1968,0,0,2016-03-30,Soul,English,,,,,,
43676,What A Night,Loveable Rogues,2013,0,0,2016-02-25,Pop,English,,,,,,
22659,What A Woman Wants,Julia Burton,2008,0,0,2012-05-21,Country,English,,,,,,
6187,What A Wonderful World,Louis Armstrong,1968,0,0,2007-05-29,Pop,Oldies,English,,,,,
18517,What A Wonderful World,Michael Bublé,2001,0,0,2011-05-31,Pop,Jazz,English,,,,,
14202,What A Wonderful World,Katie Melua,2007,1,0,2011-11-03,Jazz,Duet,English,,,,,
30095,What A Wonderful World,Stacey Kent,2007,0,0,2011-05-31,Jazz,Pop,English,,,,,
32161,What A Wonderful World,Céline Dion,2005,0,0,2011-05-31,"Pop,Soft rock",English,,,,,,
29740,What A Wonderful World,Rod Stewart,2004,0,0,2011-05-31,Jazz,Pop,English,,,,,
25731,What a Wonderful World,Eva Cassidy,2004,0,0,2018-06-09,"Soul,Love,Soft rock",English,,,,,,
27093,What A Wonderful World,Renee Olstead,2000,0,0,2011-05-30,Jazz,Pop,English,,,,,
21731,What A Wonderful World (duet),Louis Armstrong,1999,1,0,2011-05-30,Jazz,Duet,English,,,,,
26940,What A Wonderful World (Salsa Version),Michell,2008,0,0,2011-05-30,Latin,English,,,,,,
30224,What About Love,Heart,1985,0,0,2012-01-20,Rock,Love,English,,,,,
44755,What About Love,Austin Mahone,2013,0,0,2013-08-24,"Teen pop,Pop",English,,,,,,
51320,What About Me,Moving Pictures,1981,0,0,2016-07-19,"Soft rock,Pop",English,,,,,,
18650,What About Now,Chris Daughtry,2006,0,0,2012-10-12,"Pop,Soft rock",English,,,,,,
25738,What About Now,Westlife,2009,0,0,2011-05-30,"Teen pop,Pop,R&B",English,,,,,,
7409,What About Now,Lonestar,2000,0,0,2018-05-22,Country,English,,,,,,
53954,What About Us,Pink,2017,0,0,2017-09-14,Pop,English,,,,,,
29125,What About Us,Ministry,2001,0,1,2012-06-01,Hard/Metal,Rock,English,,,,,
42667,What About Us,The Saturdays,2012,0,0,2016-02-25,Pop,Electro,Dance,English,,,,
34207,What About Us,Total,1997,0,0,2014-11-27,R&B,English,,,,,,
31187,What About Your Friends?,TLC,1992,0,0,2013-12-04,R&B,English,,,,,,
5273,What Am I To You,Norah Jones,2004,0,0,2013-01-30,"Soft rock,Pop",English,,,,,,
42732,What Am I To You (Short),Norah Jones,2002,0,0,2013-02-05,Jazz,Pop,English,,,,,
37278,What Are Words,Chris Medina,2011,0,0,2011-11-22,Pop,English,,,,,,
7550,What Are You Doing New Year's Eve,Nancy Wilson,1965,0,0,2014-09-22,Soul,Jazz,Christmas,English,,,,
28649,What Are You Doing New Year's Eve,1940s Standards,1947,0,0,2011-12-09,Love,Jazz,Christmas,English,,,,
54129,What Are You Doing New Year's Eve?,Bette Midler,2005,0,0,2017-10-18,Christmas,Jazz,English,,,,,
54234,What Are You Doing New Year's Eve?,Idina Menzel,2014,0,0,2017-11-10,Christmas,Jazz,English,,,,,
18960,What Are You Doing The Rest Of Your Life?,Michel Legrand,1969,0,0,2014-10-17,"TV & movie soundtrack,Jazz,Musical",English,,,,,,
50776,What Are You Listening To,Chris Stapleton,2013,0,0,2016-04-14,Country,Rock,English,,,,,
47479,What Are You Waiting For?,The Saturdays,2014,0,0,2016-02-25,"Dance,Teen pop,Pop",English,,,,,,
6396,What Becomes Of The Broken Hearted,Paul Young,1992,0,0,2011-09-09,Pop,English,,,,,,
18213,What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,0,0,2012-03-11,Soul,English,,,,,,
21370,What Can I Do,The Corrs,1998,0,0,2014-10-29,Pop,Love,English,,,,,
51197,What Can I Do,Smokie,1976,0,0,2016-06-05,"Pop,Rock,Soft rock",English,,,,,,
21371,What Can I Do (Tin Tin Out Remix),The Corrs,1998,0,0,2017-11-06,Pop,Love,English,,,,,
26575,What Can I Say,Carrie Underwood,2009,1,0,2011-05-30,Duet,Country,English,,,,,
35624,What Can I Say After I Say I'm Sorry,1920s Standards,1926,0,0,2011-06-03,Oldies,Jazz,English,,,,,
39728,What Cha' Gonna Do For Me,Chaka Khan,1981,0,0,2012-07-19,Funk,Soul,English,,,,,
26915,What Child Is This,Christmas Carol,1865,0,0,2011-05-30,Christmas,Christian,Traditionnal,English,,,,
39064,What Child Is This,Carrie Underwood,2007,0,0,2011-12-27,Christmas,English,,,,,,
54279,What Child Is This? (Greensleeves),Sarah McLachlan,2006,0,0,2017-10-30,Christmas,Folk,English,,,,,
45476,What Christmas Means to Me,Stevie Wonder,1967,0,0,2013-11-27,Christmas,Soul,Christian,English,,,,
32157,What Colour Is The Wind,Charlie Landsborough,1994,0,0,2018-06-01,Folk,Country,English,,,,,
49211,What Colour Is The Wind,Mike Denver,2011,0,0,2015-06-18,Country,English,,,,,,
24026,What Comes Naturally,Sheena Easton,1991,0,0,2013-12-04,Pop,Funk,Dance,English,,,,
53389,What Comes Next?,Hamilton,2015,0,0,2017-06-30,Pop,Musical,English,,,,,
42072,What Could Have Been Love,Aerosmith,2012,0,0,2012-11-23,Rock,English,,,,,,
32668,What Difference Does It Make?,The Smiths,1984,0,0,2017-01-30,Rock,Alternative,English,,,,,
21146,What Do I Have To Do?,Kylie Minogue,1991,0,0,2012-08-15,Pop,Dance,English,,,,,
52824,What Do I Know?,Ed Sheeran,2017,0,0,2017-04-04,Pop,English,,,,,,
25945,What Do Ya Think About That,Montgomery Gentry,2007,0,0,2012-02-22,Country,English,,,,,,
25819,What Do You Do,The Troys,2003,0,0,2012-06-07,Pop,Rock,English,,,,,
7711,What Do You Know About Love?,Dwight Yoakam,2000,0,0,2012-03-20,Country,English,,,,,,
49767,What Do You Mean?,Justin Bieber,2015,0,0,2015-10-30,Pop,Dance,Electro,English,,,,
34831,What Do You Want From Me?,Take That,2010,0,0,2012-01-30,"Pop,Soft rock",English,,,,,,
18069,What Do You Want From Me?,Cascada,2008,0,0,2011-05-31,Dance,Pop,English,,,,,
32219,What Do You Want to Make Those Eyes at Me For?,Emile Ford,1959,0,0,2016-11-14,Rock 'n Roll,English,,,,,,
33286,What Do You Want To Make Those Eyes At Me For?,Shakin' Stevens,1987,0,0,2012-01-27,Rock 'n Roll,English,,,,,,
35860,What Does It Take,Honeymoon Suite,1986,0,0,2012-01-22,Rock,English,,,,,,
52537,What Does It Take (To Win Your Love),Junior Walker & the All Stars,1968,0,0,2017-02-16,Soul,English,,,,,,
25431,What Dreams Are Made Of,Hilary Duff,2003,0,0,2015-11-23,"TV & movie soundtrack,Dance,Teen pop",English,,,,,,
25401,What Dreams Are Made Of (Ballad Version),Hilary Duff,2003,0,0,2016-08-25,"TV & movie soundtrack,Teen pop",English,,,,,,
39474,What Goes On,The Velvet Underground,1968,0,0,2013-07-26,Alternative,Rock,English,,,,,
25820,What Happened,Gretchen Wilson,2005,0,0,2012-06-01,Soft rock,English,,,,,,
48630,What Happened To Your Band,McBusted,2014,0,0,2015-03-25,Pop,Rock,English,,,,,
40122,What Happiness Means To Me,Amy Macdonald,2010,0,0,2012-05-25,Pop,Rock,Folk,English,,,,
30682,What Have You Done,Within Temptation,2007,0,0,2011-05-31,Hard/Metal,English,,,,,,
40104,What Have You Got Planned Tonight Diana,Merle Haggard,1976,0,0,2016-08-08,Country,English,,,,,,
17527,What Hurts The Most,Rascal Flatts,2005,0,0,2011-05-31,"Soft rock,Country",English,,,,,,
14145,What Hurts The Most,Cascada,2007,0,0,2008-08-22,Dance,Pop,English,,,,,
43385,What Hurts The Most,Boyce Avenue,2008,0,0,2013-05-01,"Soft rock,Pop",English,,,,,,
26644,What I Am,Edie Brickell,1988,0,0,2012-01-25,Pop,Rock,English,,,,,
53065,What I Can't Put Down,Jon Pardi,2014,0,0,2017-05-23,Country,Rock,English,,,,,
24652,What I Cannot Change,LeAnn Rimes,2008,0,0,2011-11-09,"Soft rock,Country",English,,,,,,
30052,What I Did for Love,A Chorus Line,1985,0,0,2018-09-03,"TV & movie soundtrack,Musical",English,,,,,,
49093,What I Did For Love,Josh Groban,2015,0,0,2015-05-26,"Pop,Soft rock,Love,Musical",English,,,,,,
34427,What I Did for Love,Glee,2010,0,0,2011-05-30,"TV & movie soundtrack,Musical,Pop",English,,,,,,
48524,What I Did For Love,David Guetta,2014,0,0,2015-02-13,Pop,Dance,Electro,English,,,,
24361,What I Did Last Night,Catherine Britt,2007,0,0,2012-06-01,Country,English,,,,,,
12583,What I Go To School For,Busted,2002,0,0,2011-05-31,"Teen pop,Rock",English,,,,,,
48474,What I Got,Sublime,1996,0,1,2015-02-13,Alternative,Rock,Ska,Punk/Grunge,Rap,English,,
50431,What I Like About You,The Romantics,1979,0,0,2016-01-26,Rock,Pop,English,,,,,
50428,What I like About You,5 Seconds of Summer,2014,0,0,2016-02-09,"Teen pop,Pop,Rock",English,,,,,,
28754,What I Like About You,Lillix,2003,0,0,2011-11-28,"Rock,Teen pop",English,,,,,,
18016,What I Like About You (Live),The Romantics,1980,0,0,2012-09-11,Rock,English,,,,,,
35126,What I Meant To Say,Donny Osmond,2005,0,0,2012-01-11,Love,Pop,English,,,,,
45173,What I Might Do,Ben Pearce,2012,0,0,2016-02-25,Alternative,Electro,English,,,,,
16381,What I Miss About You,Katie Melua,2008,0,0,2012-01-22,Pop,English,,,,,,
33998,What I Need,Ray J,2006,0,0,2013-12-15,Rap,R&B,English,,,,,
50141,What I Never Knew I Always Wanted,Carrie Underwood,2015,0,0,2016-04-28,Pop,Country,Folk,English,,,,
14434,What I Want,Bob Sinclar,2007,0,0,2011-05-31,Electro,Dance,English,,,,,
29214,What I'd Give,Sugarland,2008,0,0,2011-05-31,Soft rock,English,,,,,,
44207,What I'd Say,Vigon Bamy Jay,2013,0,0,2013-07-25,"Soul,Rock 'n Roll",English,,,,,,
23710,What I'm For,Pat Green,2009,0,0,2011-05-31,Country,English,,,,,,
33313,What I've Been Looking For,High School Musical,2006,0,0,2018-04-13,"TV & movie soundtrack,Musical",English,,,,,,
25352,What I've Been Waiting For,Brian McKnight,2009,0,0,2013-12-07,R&B,English,,,,,,
25106,What I've Got In Mind,Billie Jo Spears,1976,0,0,2017-09-20,Country,English,,,,,,
21937,What If,Kate Winslet,2001,0,0,2011-05-31,"Christmas,TV & movie soundtrack,Soft rock,Love",English,,,,,,
31891,What If,Jason Derulo,2010,0,0,2016-02-25,"Pop,Soft rock,R&B",English,,,,,,
27957,What If Cartoons Got Saved,Chris Rice,2003,0,0,2011-05-30,Country,Pop,Christian,English,,,,
48810,What If I,Meghan Trainor,2015,0,0,2015-03-25,Pop,R&B,Soul,English,,,,
24966,What If It All Goes Right,Melissa Lawson,2008,0,0,2011-05-30,Pop,Country,English,,,,,
53355,What Ifs,Kane Brown,2016,0,0,2017-07-17,Country,Pop,English,,,,,
41376,What Is Hip?,Tower Of Power,1973,0,0,2013-07-17,Funk,Soul,English,,,,,
45998,What Is Life,George Harrison,1971,0,0,2014-02-20,Rock,Pop,English,,,,,
19903,What Is Love,Haddaway,1992,0,0,2011-12-14,Dance,English,,,,,,
52348,What Is Love,Lost Frequencies,2016,0,0,2017-01-19,Dance,Electro,Pop,English,,,,
55454,What is Love,Postmodern Jukebox,2017,0,0,2018-05-18,Jazz,Soul,Love,English,,,,
47710,What Is Love,Kiesza,2014,0,0,2014-10-07,Pop,English,,,,,,
25274,What Is Love 2k9,Haddaway,2009,0,0,2015-07-28,Dance,Electro,English,,,,,
36717,What Is Love?,Howard Jones,1983,0,0,2015-08-25,80s,English,,,,,,
11968,What Is This Feeling?,Wicked,2003,1,0,2008-05-29,Musical,Duet,English,,,,,
17793,What Is This Thing Called Love?,Frank Sinatra,1953,0,0,2011-05-31,Jazz,Traditionnal,English,,,,,
16799,What It Takes,Aerosmith,1989,0,0,2015-05-01,Rock,Hard/Metal,English,,,,,
8514,What It's Like,Everlast,1990,0,1,2011-11-19,Pop,Rock,English,,,,,
25900,What Kind of Fool Am I,Sammy Davis Jr.,1962,0,0,2011-10-08,Jazz,Pop,Musical,English,,,,
25743,What Kinda Gone,Chris Cagle,2007,0,0,2012-03-05,Country,English,,,,,,
44451,What Love is Made Of,Katy B,2013,0,0,2016-02-25,Dance,Electro,English,,,,,
54135,What Lovers Do,Maroon 5,2017,0,0,2017-10-25,Pop,Dance,Electro,English,,,,
25821,What Made You Say That,Shania Twain,1993,0,0,2013-12-01,"Country,Soft rock",English,,,,,,
44118,What Makes A Man,Westlife,2000,0,0,2013-07-01,Pop,English,,,,,,
38104,What Makes You Beautiful,One Direction,2011,0,0,2011-09-21,"Teen pop,Pop",English,,,,,,
38754,What Makes You Beautiful,Boyce Avenue,2011,0,0,2011-12-10,"Pop,Soft rock,Folk",English,,,,,,
54839,What Makes You Country,Luke Bryan,2017,0,0,2018-01-11,Country,Rock,English,,,,,
41877,What My Woman Can't Do,George Jones,1973,0,0,2012-11-19,Country,English,,,,,,
8303,What Now My Love,Frank Sinatra,1966,0,0,2011-05-31,Jazz,English,,,,,,
7059,What Now My Love,Elvis Presley,1973,0,0,2011-05-30,Rock,English,,,,,,
42325,What Now My Love,Shirley Bassey,1962,0,0,2016-06-07,Pop,Jazz,English,,,,,
27291,What Now My Love (With Aretha Franklin),Frank Sinatra,1966,1,0,2017-08-01,Jazz,Duet,English,,,,,
50683,"What Now, My Love? (with the Royal Philharmonic Orchestra)",Elvis Presley,2015,0,0,2016-03-21,Pop,English,,,,,,
6763,What Part Of No,Lorrie Morgan,1992,0,0,2012-05-03,Country,English,,,,,,
7002,What She's Doing Now,Garth Brooks,1991,0,0,2018-06-25,"Country,Soft rock",English,,,,,,
10247,What The Cowgirls Do,Vince Gill,1994,0,0,2016-07-22,Country,English,,,,,,
35829,What The Hell,Avril Lavigne,2011,0,0,2011-05-30,"Teen pop,Rock,Pop",English,,,,,,
